OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,geo_shape,geo_point_2d
18295,11197,Albion Road - 18,Crosby Road,Sandgate Road,504297.4,6965692.1,-27.432203,153.043482,Albion,2 - Intermediate,Y,Easy,Easy,Hard,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.04348803746873, -27.432190445417795], ""type"": ""Point""}","-27.432190445417795, 153.04348803746873"
18296,11198,Brothers - 19,Crosby Road,Fox Street,504507,6965661,-27.432483,153.045602,Albion,2 - Intermediate,Y,Hard,Easy,Easy,,"{""coordinates"": [153.0456080365857, -27.43247044620005], ""type"": ""Point""}","-27.43247044620005, 153.0456080365857"
18297,11199,Brothers - 19,Crosby Road,Fox Street,504483.5,6965677.9,-27.43233,153.045365,Albion,4 - Regular,Y,Easy,Medium,Easy,,"{""coordinates"": [153.04537103662676, -27.432317445932146], ""type"": ""Point""}","-27.432317445932146, 153.04537103662676"
18298,11201,Frodsham Street - 19,Frodsham Street,Ellen Street,504269.1,6965819.8,-27.43105,153.043195,Albion,2 - Intermediate,Y,Easy,Medium,Easy,2019-11-18T11:00:00+10:00,"{""coordinates"": [153.04320103701693, -27.43103744565967], ""type"": ""Point""}","-27.43103744565967, 153.04320103701693"
18299,11202,Kenna Street - 46,Kenna Street,Whites Street,500799.5,6971540.9,-27.379406,153.008085,Chermside West,4 - Regular,N,Hard,Easy,Easy,,"{""coordinates"": [153.00809104772745, -27.3793934415242], ""type"": ""Point""}","-27.3793934415242, 153.00809104772745"
18300,11203,Baildon St opp Story Bge Htl,Wharf Street,Main Street,503558.2,6961667.7,-27.468537,153.036014,Kangaroo Point,3 - Regular with seat,Y,Easy,Easy,Hard,2017-04-21T12:00:00+10:00,"{""coordinates"": [153.03602003340893, -27.46852444489148], ""type"": ""Point""}","-27.46852444489148, 153.03602003340893"
18301,11205,Merry St,Bulimba Street,Merry Street,505606.5,6964353.8,-27.444281,153.056733,Bulimba,4 - Regular,Y,Easy,Easy,Easy,2017-01-30T11:00:00+10:00,"{""coordinates"": [153.05673903430187, -27.444268447394084], ""type"": ""Point""}","-27.444268447394084, 153.05673903430187"
18302,11206,Merry St,Bulimba Street,Merry Street,505617.9,6964353.6,-27.444282,153.056849,Bulimba,2 - Intermediate,Y,Easy,Easy,Hard,2016-07-18T12:00:00+10:00,"{""coordinates"": [153.05685503388437, -27.444269447378606], ""type"": ""Point""}","-27.444269447378606, 153.05685503388437"
18303,11208,East Street - 19,Lutwyche Road,East Street,503311.8,6966653.4,-27.423527,153.033506,Lutwyche,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-08T12:00:00+10:00,"{""coordinates"": [153.03351203875224, -27.423514445000958], ""type"": ""Point""}","-27.423514445000958, 153.03351203875224"
18304,11209,Richlands Station 'B' Inbound,Garden Road,Richlands Station,494810.4,6947598.2,-27.59555,152.947414,Richlands,Busway Station,N,Hard,Hard,Hard,,"{""coordinates"": [152.9474200266731, -27.59553743711421], ""type"": ""Point""}","-27.59553743711421, 152.9474200266731"
18305,11210,Richlands Station 'A' Outbound,Garden Road,Richlands Station,494820.1,6947583.5,-27.595683,152.947512,Richlands,Busway Station,N,Hard,Hard,Hard,,"{""coordinates"": [152.94751802666798, -27.595670437809055], ""type"": ""Point""}","-27.595670437809055, 152.94751802666798"
18306,11211,Lions - Pine Rd Richlands northern side,Pine Road,Garden Road,495072,6947807.5,-27.593661,152.950065,Richlands,4 - Regular,Y,Easy,Easy,Easy,2018-11-23T11:00:00+10:00,"{""coordinates"": [152.95007102658363, -27.593648437300683], ""type"": ""Point""}","-27.593648437300683, 152.95007102658363"
18307,11212,Kenna Street - 46,Kenna Street,Whites Road,500842.9,6971512.8,-27.37966,153.008524,Chermside West,2 - Intermediate,Y,Easy,Hard,Hard,2017-05-16T12:00:00+10:00,"{""coordinates"": [153.00853004749277, -27.37964744199079], ""type"": ""Point""}","-27.37964744199079, 153.00853004749277"
18308,11213,Lions - Pine Rd Richlands southern side,Pine Road,Garden Road,495081,6947789.3,-27.593826,152.950156,Richlands,4 - Regular,Y,Easy,Medium,Medium,2018-11-23T11:00:00+10:00,"{""coordinates"": [152.95016202701817, -27.593813437294095], ""type"": ""Point""}","-27.593813437294095, 152.95016202701817"
18309,11214,Lutwyche Lutwyche Road,Lutwyche Road,Chalk Street,503359.6,6966816.2,-27.422057,153.03399,Lutwyche,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-08T12:00:00+10:00,"{""coordinates"": [153.03399603955043, -27.422044444925188], ""type"": ""Point""}","-27.422044444925188, 153.03399603955043"
18310,11215,East Street - 19-18,Lutwyche Road,East Road,503333.1,6966648.9,-27.423568,153.033722,Lutwyche,3 - Regular with seat,Y,Easy,Easy,Medium,2022-10-28T12:00:00+10:00,"{""coordinates"": [153.03372803890719, -27.423555444383148], ""type"": ""Point""}","-27.423555444383148, 153.03372803890719"
18311,11218,Windsor Park,Roblane Street,Thondley Street,503212.5,6965884,-27.430474,153.032503,Windsor,1 - Premium,Y,Easy,Medium,Easy,2017-05-02T12:00:00+10:00,"{""coordinates"": [153.03250903789927, -27.43046144470996], ""type"": ""Point""}","-27.43046144470996, 153.03250903789927"
18312,11219,Chalk Street - 20,Chalk Street,Challis Street,503511.8,6966878,-27.421499,153.035529,Lutwyche,3 - Regular with seat,N,Hard,Easy,Easy,,"{""coordinates"": [153.03553503886823, -27.421486444711803], ""type"": ""Point""}","-27.421486444711803, 153.03553503886823"
18313,11220,Albion Road - 18,Abbotsford Road,Anstey Street,504150.3,6965802.9,-27.431203,153.041993,Albion,3 - Regular with seat,Y,Hard,Easy,Easy,,"{""coordinates"": [153.04199903731885, -27.4311904453795], ""type"": ""Point""}","-27.4311904453795, 153.04199903731885"
18314,11221,Albion Road - 18,Sandgate Road,Frodsham Street,504206.5,6965749.9,-27.431682,153.042561,Albion,4 - Regular,Y,Easy,Hard,Medium,2023-03-03T11:00:00+10:00,"{""coordinates"": [153.04256703680605, -27.431669445303708], ""type"": ""Point""}","-27.431669445303708, 153.04256703680605"
18315,11222,Collingwood Street - 17,Sandgate Road,Collingwood Street,504257.5,6965646.4,-27.432615,153.043078,Albion,2 - Intermediate,Y,Easy,Easy,Easy,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.04308403717658, -27.43260244610998], ""type"": ""Point""}","-27.43260244610998, 153.04308403717658"
18316,11223,Collingwood Street - 17,Sandgate Road,Collingwood Street,504255,6965579.1,-27.433223,153.043053,Albion,3 - Regular with seat,Y,Easy,Easy,Easy,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.0430590364139, -27.43321044601852], ""type"": ""Point""}","-27.43321044601852, 153.0430590364139"
18317,11225,Bus Depot - 17/18,Abbotsford Road,Hadwen Lane,504119.6,6965307.1,-27.435679,153.041684,Bowen Hills,2 - Intermediate,N,Hard,Hard,Hard,,"{""coordinates"": [153.0416900365532, -27.435666445796347], ""type"": ""Point""}","-27.435666445796347, 153.0416900365532"
18318,11226,Bus Depot - 17,Abbotsford Road,Burrows Street,504106.2,6965227.2,-27.436401,153.041548,Bowen Hills,2 - Intermediate,Y,Easy,Easy,Medium,2023-02-21T11:00:00+10:00,"{""coordinates"": [153.0415540364592, -27.43638844548219], ""type"": ""Point""}","-27.43638844548219, 153.0415540364592"
18319,11229,Greg Chappell Street – 16’,Sandgate Road,Bogan Street,504332.8,6965343.2,-27.435353,153.04384,Albion,3 - Regular with seat,Y,Easy,Easy,Easy,2017-06-06T12:00:00+10:00,"{""coordinates"": [153.0438460365979, -27.43534044580812], ""type"": ""Point""}","-27.43534044580812, 153.0438460365979"
18320,11230,Greg Chappell Street – 16’,Sandgate Road,Pedder Street,504302.6,6965274.8,-27.43597,153.043535,Albion,3 - Regular with seat,Y,Easy,Easy,Medium,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.04354103615145, -27.435957445801183], ""type"": ""Point""}","-27.435957445801183, 153.04354103615145"
18321,11231,Yowoggera Park - 15,Sandgate Road,Beaumont Street,504234.2,6965089.8,-27.43764,153.042844,Albion,2 - Intermediate,Y,Easy,Easy,Medium,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.04285003677322, -27.437627445668493], ""type"": ""Point""}","-27.437627445668493, 153.04285003677322"
18322,11232,Wavell Heights High Oval Stop,Telopia Avenue,Chesterfield Road,503744.9,6969105.7,-27.401386,153.03788,Wavell Heights,1 - Premium,N,Hard,Hard,Hard,,"{""coordinates"": [153.03788604160707, -27.40137344488264], ""type"": ""Point""}","-27.40137344488264, 153.03788604160707"
18323,11233,Golden Downs,Beams Road,Golden Place,503235.4,6974876.7,-27.349286,153.032712,Fitzgibbon,2 - Intermediate,Y,Easy,Easy,Easy,2018-06-01T12:00:00+10:00,"{""coordinates"": [153.03271804883786, -27.34927344438495], ""type"": ""Point""}","-27.34927344438495, 153.03271804883786"
18324,11235,Armada,Nudgee Road,Armada Place,508848.8,6970999.8,-27.384263,153.089495,Banyo,2 - Intermediate,Y,Easy,Easy,Easy,,"{""coordinates"": [153.08950103818964, -27.384250449672457], ""type"": ""Point""}","-27.384250449672457, 153.08950103818964"
18325,11236,Armada,Nudgee Road,Armada Place,508784.7,6970889.5,-27.385259,153.088847,Banyo,2 - Intermediate,Y,Easy,Easy,Easy,2017-05-22T12:00:00+10:00,"{""coordinates"": [153.0888530381747, -27.38524645024674], ""type"": ""Point""}","-27.38524645024674, 153.0888530381747"
18326,11239,Newstead House - 12,Breakfast Creek Road,Newstead Avenue,504357.4,6964457.1,-27.443352,153.044093,Newstead,2 - Intermediate,N,Hard,Hard,Hard,2016-06-21T12:00:00+10:00,"{""coordinates"": [153.04409903600595, -27.443339445899138], ""type"": ""Point""}","-27.443339445899138, 153.04409903600595"
18327,11241,Golden Downs,Beams Road,Carselgrove Avenue,503231.2,6974906.5,-27.349017,153.032669,Fitzgibbon,2 - Intermediate,Y,Easy,Easy,Easy,2018-06-13T12:00:00+10:00,"{""coordinates"": [153.03267504875788, -27.349004443707624], ""type"": ""Point""}","-27.349004443707624, 153.03267504875788"
18328,11242,West Link Pl,Archerfield Road,West Link Place,495738.1,6949235.9,-27.580769,152.95682,Richlands,4 - Regular,Y,Medium,Easy,Easy,2018-02-01T11:00:00+10:00,"{""coordinates"": [152.95682602780633, -27.58075643858139], ""type"": ""Point""}","-27.58075643858139, 152.95682602780633"
18329,11243,West Link Pl,Archerfield Road,West Link Place,495758.4,6949226.1,-27.580857,152.957025,Richlands,4 - Regular,Y,Medium,Easy,Easy,2018-02-01T11:00:00+10:00,"{""coordinates"": [152.95703102703035, -27.580844437903576], ""type"": ""Point""}","-27.580844437903576, 152.95703102703035"
18330,11248,Kokoda,Kokoda Street,Wau Street,493962.9,6949543.4,-27.577986,152.938836,Darra,5 - District,N,Medium,Easy,Easy,,"{""coordinates"": [152.93884202945154, -27.57797343633196], ""type"": ""Point""}","-27.57797343633196, 152.93884202945154"
18331,11249,Kokoda,Kokoda Street,Wau Road,493956.3,6949551.2,-27.577915,152.938769,Darra,4 - Regular,Y,Medium,Easy,Easy,2016-07-07T12:00:00+10:00,"{""coordinates"": [152.93877503035762, -27.577902436195828], ""type"": ""Point""}","-27.577902436195828, 152.93877503035762"
18332,11250,Parkwood Drive North,Parkwood Drive,Laurel Street,499163,6943409.6,-27.633374,152.991516,Heathwood,4 - Regular,Y,Medium,Medium,Easy,2018-02-07T11:00:00+10:00,"{""coordinates"": [152.99152201696796, -27.633361442291523], ""type"": ""Point""}","-27.633361442291523, 152.99152201696796"
18333,11251,Parkwood Drive North,Parkwood Drive,Bottlebrush Street,499123.9,6943451.6,-27.632994,152.991119,Heathwood,2 - Intermediate,Y,Easy,Easy,Easy,2017-07-04T12:00:00+10:00,"{""coordinates"": [152.99112501686488, -27.632981441863105], ""type"": ""Point""}","-27.632981441863105, 152.99112501686488"
18334,11252,Parkwood Drive,Parkwood Drive,Parkwood Drive,499177.2,6943185.5,-27.635397,152.99166,Heathwood,5 - District,N,Hard,Easy,Easy,,"{""coordinates"": [152.991666016672, -27.635384441982602], ""type"": ""Point""}","-27.635384441982602, 152.991666016672"
18335,11253,Parkwood Drive,Parkwood Drive,Parkwood Drive,499164.9,6943187.4,-27.635379,152.991535,Heathwood,5 - District,N,Hard,Easy,Easy,,"{""coordinates"": [152.99154101740442, -27.635366442042844], ""type"": ""Point""}","-27.635366442042844, 152.99154101740442"
18336,11254,Parkwood Drive South,Parkwood Drive,Acacia Drive,499028.7,6943017.9,-27.63691,152.990155,Heathwood,5 - District,N,Hard,Easy,Easy,,"{""coordinates"": [152.9901610167294, -27.636897442238073], ""type"": ""Point""}","-27.636897442238073, 152.9901610167294"
18337,11255,Parkwood Drive South,Parkwood Drive,Acacia Drive,499031.3,6943030.5,-27.636796,152.990181,Heathwood,5 - District,N,Hard,Easy,Easy,,"{""coordinates"": [152.99018701674927, -27.636783442274783], ""type"": ""Point""}","-27.636783442274783, 152.99018701674927"
18338,11256,Stapylton Road,Parkwood Drive,Juniper Street,498762.4,6943005.9,-27.637018,152.987454,Heathwood,4 - Regular,Y,Easy,Easy,Easy,2019-03-22T11:00:00+10:00,"{""coordinates"": [152.9874600175005, -27.637005441649862], ""type"": ""Point""}","-27.637005441649862, 152.9874600175005"
18339,11257,Stapylton Road,Parkwood Drive,Juniper Drive,498781.2,6943029.7,-27.636803,152.987645,Heathwood,5 - District,N,Hard,Easy,Easy,,"{""coordinates"": [152.98765101678148, -27.636790441650774], ""type"": ""Point""}","-27.636790441650774, 152.98765101678148"
18340,11258,Ashgrove Marketplace,Ashgrove Avenue,Crawford Avenue,499383.7,6964337.9,-27.444435,152.993763,Ashgrove,3 - Regular with seat,N,Hard,Easy,Easy,,"{""coordinates"": [152.9937690403961, -27.444422440395055], ""type"": ""Point""}","-27.444422440395055, 152.9937690403961"
18341,11259,Parkwood - Watergum roundabout,Parkwood Drive,Acacia Drive,498919.6,6943048.8,-27.636631,152.989048,Heathwood,4 - Regular,Y,Easy,Easy,Easy,2019-03-22T11:00:00+10:00,"{""coordinates"": [152.98905401707327, -27.636618441579454], ""type"": ""Point""}","-27.636618441579454, 152.98905401707327"
18342,11260,Acacia Ridge Watson Rd OB,Watson Road,Gloucester Road,502006.1,6948816.3,-27.584561,153.020325,Acacia Ridge,3 - Regular with seat,Y,Easy,Easy,Easy,2023-05-19T12:00:00+10:00,"{""coordinates"": [153.02033102070283, -27.584548445058118], ""type"": ""Point""}","-27.584548445058118, 153.02033102070283"
18343,11261,Acacia Ridge Watson Rd IB,Watson Road,Gloucester Road,501993,6948814.8,-27.584576,153.020193,Acacia Ridge,2 - Intermediate,Y,Easy,Medium,Easy,2022-05-04T12:00:00+10:00,"{""coordinates"": [153.0201990204947, -27.584563444197563], ""type"": ""Point""}","-27.584563444197563, 153.0201990204947"
18344,11262,Acacia Ridge Shops,Mitchell Street,Elizabeth Street,502629,6948228.7,-27.589865,153.026638,Acacia Ridge,2 - Intermediate,Y,Easy,Medium,Medium,2017-07-11T12:00:00+10:00,"{""coordinates"": [153.0266440191247, -27.589852445595763], ""type"": ""Point""}","-27.589852445595763, 153.0266440191247"
18345,11264,Linacre St,Inala Avenue,King Avenue,499111.4,6947768.4,-27.594023,152.990995,Durack,2 - Intermediate,Y,Easy,Easy,Easy,2019-07-03T12:00:00+10:00,"{""coordinates"": [152.99100102197127, -27.59401044154986], ""type"": ""Point""}","-27.59401044154986, 152.99100102197127"
18346,11265,Linacre Inala Ave Durack,Inala Avenue,King Avenue,499162.1,6947768.8,-27.59402,152.99151,Durack,2 - Intermediate,Y,Easy,Easy,Easy,2016-04-28T12:00:00+10:00,"{""coordinates"": [152.99151602212112, -27.59400744160215], ""type"": ""Point""}","-27.59400744160215, 152.99151602212112"
18347,11267,Wau,Wau Road,Markham Street,494198.7,6949822.4,-27.575468,152.941226,Darra,4 - Regular,Y,Easy,Easy,Easy,2019-03-21T11:00:00+10:00,"{""coordinates"": [152.94123202984485, -27.575455436172952], ""type"": ""Point""}","-27.575455436172952, 152.94123202984485"
18348,11269,Kedron Brook Station Platform 2,Perry Street,Inner Northern Busway,503489.1,6967596.2,-27.415015,153.035297,Lutwyche,Busway Station,N,Hard,Hard,Hard,,"{""coordinates"": [153.03530304016002, -27.415002444880717], ""type"": ""Point""}","-27.415002444880717, 153.03530304016002"
18349,11270,Kedron Brook Station Platform 1,Perry Street,Inner Northern Busway,503526.1,6967560.4,-27.415338,153.035672,Lutwyche,Busway Station,N,Hard,Hard,Hard,,"{""coordinates"": [153.03567804021873, -27.415325444781327], ""type"": ""Point""}","-27.415325444781327, 153.03567804021873"
18350,11271,Lutwyche Station Platform 2,Lutwyche Road,Inner Northern Busway,503385.5,6967054,-27.41991,153.034251,Lutwyche,Busway Station,N,Hard,Hard,Hard,,"{""coordinates"": [153.03425703918077, -27.419897444386645], ""type"": ""Point""}","-27.419897444386645, 153.03425703918077"
18351,11272,Lutwyche Station Platform 1,Lutwyche Road,Inner Northern Busway,503408.3,6967007.5,-27.42033,153.034482,Lutwyche,Busway Station,N,Hard,Hard,Hard,,"{""coordinates"": [153.0344880393505, -27.420317444729726], ""type"": ""Point""}","-27.420317444729726, 153.0344880393505"
18352,11273,Markham St,Markham Street,Sanananda Street,494237.3,6950033.2,-27.573565,152.941618,Darra,2 - Intermediate,Y,Easy,Medium,Medium,2017-06-06T12:00:00+10:00,"{""coordinates"": [152.9416240299615, -27.573552436640906], ""type"": ""Point""}","-27.573552436640906, 152.9416240299615"
