OBJECTID,Asset ID,Suburb,Street,Parking restriction Sign Type,Sign Category,Sign Status,Sign owner,BCC Code For Signs,Sign Direction,Sign is Temporary,Related Signs,Multi-sign Plate,Additional Sign Text,ParkingRestrictionDaysandTimes,SAP Object Number,SAP ID Number,Parking Restriction Code,GlobalID,geo_shape,geo_point_2d,Suburb_List,Latitude,Longitude,Parking_Restriction_Type
5814,SN-10-1000-1191857,MILTON,RAILWAY TERRACE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45ZR,Right,0,1,0,"2 MIN MAX,20 MINS MAX",MON-FRI:6am-4pm,000000000100317162,IE000000000100317162,45,ed17a476-2baa-4c63-b3ea-2411c00dedbe,"{""coordinates"": [153.00631005812642, -27.469092464371258], ""type"": ""Point""}","-27.469092464371258, 153.00631005812642","M, MILTON",-27.469092464371258,153.00631005812642,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5863,SN-20-2000-2453440,KENMORE,STRATHSPEY STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43Z2YD,Bi-Directional,0,1,1,2 MIN MAX,":7:00AM-9:00AM ,SCHOOLDAYS:3:30PM-4:00PM",000000000100432025,IE000000000100432025,43,cb278fde-7fbe-4a7c-b85e-21a093387d33,"{""coordinates"": [152.94273525896895, -27.51767671229506], ""type"": ""Point""}","-27.51767671229506, 152.94273525896895","K, KENMORE",-27.51767671229506,152.94273525896895,Loading Zone Passengers 2 Min. Max
5876,SN-10-1000-1300369,OXLEY,ELLEN STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100322377,IE000000000100322377,45,8c134d9a-62b5-4f7a-a7b8-8eaf2d2e5045,"{""coordinates"": [152.97761496134558, -27.55134190288863], ""type"": ""Point""}","-27.55134190288863, 152.97761496134558","O, OXLEY",-27.55134190288863,152.97761496134558,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5905,SN-10-1000-1307554,BRISBANE CITY,TURBOT STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100313223,IE000000000100313223,45,93289bc2-30f7-495e-80ba-63e64287c313,"{""coordinates"": [153.02100085233388, -27.46904281434308], ""type"": ""Point""}","-27.46904281434308, 153.02100085233388","B, BRISBANE CITY",-27.46904281434308,153.02100085233388,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5911,SN-20-2000-2432827,FORTITUDE VALLEY,GREEN SQUARE CLOSE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100431266,IE000000000100431266,45,55d73edd-a915-4d0a-8fd6-83b64912ec74,"{""coordinates"": [153.03483318211258, -27.45370854977844], ""type"": ""Point""}","-27.45370854977844, 153.03483318211258","F, FORTITUDE VALLEY",-27.45370854977844,153.03483318211258,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5939,SN-10-1000-1281100,ENOGGERA,LAUREL STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYD,Bi-Directional,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100318222,IE000000000100318222,43,647dbdb8-55ab-4ed2-8090-c0eec9879989,"{""coordinates"": [152.99455096383318, -27.41661668179142], ""type"": ""Point""}","-27.41661668179142, 152.99455096383318","E, ENOGGERA",-27.41661668179142,152.99455096383318,Loading Zone Passengers 2 Min. Max
5955,SN-10-1000-1263188,SOUTH BRISBANE,MERIVALE STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100313701,IE000000000100313701,45,bf02d33c-3289-4495-8a9e-03d0bea34fb2,"{""coordinates"": [153.02076269666912, -27.481174434368576], ""type"": ""Point""}","-27.481174434368576, 153.02076269666912","S, SOUTH BRISBANE",-27.481174434368576,153.02076269666912,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5958,SN-10-1000-1258978,WISHART,BELLOT STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYL,Left,0,1,1,2 MIN MAX,":8am-9am ,SCHOOLDAYS:2:30pm-3:30pm",000000000100313734,IE000000000100313734,43,c7353a09-70f1-4262-be9c-6da3f79d058e,"{""coordinates"": [153.09234633236272, -27.55148639400524], ""type"": ""Point""}","-27.55148639400524, 153.09234633236272","W, WISHART",-27.55148639400524,153.09234633236272,Loading Zone Passengers 2 Min. Max
5984,SN-10-1000-1184752,BRISBANE CITY,GEORGE STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45AL,Left,0,1,1,"2 MIN MAX,20 MINS MAX",ALL OTHER TIMES:-,000000000100314284,IE000000000100314284,45,5d8741a6-921b-47ed-987d-eaa5736ef723,"{""coordinates"": [153.0256262775171, -27.4730075573372], ""type"": ""Point""}","-27.4730075573372, 153.0256262775171","B, BRISBANE CITY",-27.4730075573372,153.0256262775171,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5988,SN-10-1000-1150576,FORTITUDE VALLEY,MCLACHLAN STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45ZR,Right,0,1,1,"2 MIN MAX,20 MINS MAX",MON-FRI:8am-5:30pm,000000000100314404,IE000000000100314404,45,4e307d42-ae01-4d41-9628-5172fce57bbc,"{""coordinates"": [153.03764409308386, -27.457041106006198], ""type"": ""Point""}","-27.457041106006198, 153.03764409308386","F, FORTITUDE VALLEY",-27.457041106006198,153.03764409308386,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
